survey,species,stock,id,area,nTransects,distance,nClusters,nIndiv,biomass,biomass_ci_lower,biomass_ci_upper,biomass_sd,biomass_cv,date_start,group,year,season,source
0806JD,Sardinops sagax,Northern,3,NA,NA,NA,NA,NA,784000,371000,1300000,NA,NA,2008-06-30T00:00:00Z,Sardinops sagax-Northern,2008,Summer,NOAA
0806JD,Scomber japonicus,All,4,NA,NA,NA,NA,NA,55499,14163,96834,NA,NA,2008-06-30T00:00:00Z,Scomber japonicus-All,2008,Summer,NOAA
0806JD,Trachurus symmetricus,All,5,NA,NA,NA,NA,NA,448489,156971,756152,NA,NA,2008-06-30T00:00:00Z,Trachurus symmetricus-All,2008,Summer,NOAA
1206SH,Sardinops sagax,Northern,9,NA,NA,NA,NA,NA,341000,187660,687526,NA,NA,2012-06-24T00:00:00Z,Sardinops sagax-Northern,2012,Summer,NOAA
1206SH,Scomber japonicus,All,10,NA,NA,NA,NA,NA,109000,55000,181000,NA,NA,2012-06-24T00:00:00Z,Scomber japonicus-All,2012,Summer,NOAA
1206SH,Trachurus symmetricus,All,11,NA,NA,NA,NA,NA,97000,53000,140000,NA,NA,2012-06-24T00:00:00Z,Trachurus symmetricus-All,2012,Summer,NOAA
1306SH,Sardinops sagax,Northern,13,NA,NA,NA,NA,NA,313745,166135,517009,NA,NA,2013-06-06T00:00:00Z,Sardinops sagax-Northern,2013,Summer,NOAA
1306SH,Scomber japonicus,All,14,NA,NA,NA,NA,NA,8000,1000,20000,NA,NA,2013-06-06T00:00:00Z,Scomber japonicus-All,2013,Summer,NOAA
1306SH,Trachurus symmetricus,All,15,NA,NA,NA,NA,NA,9000,2000,20000,NA,NA,2013-06-06T00:00:00Z,Trachurus symmetricus-All,2013,Summer,NOAA
1406SH,Sardinops sagax,Northern,17,NA,NA,NA,NA,NA,26270,1700,63000,NA,NA,2014-06-24T00:00:00Z,Sardinops sagax-Northern,2014,Summer,NOAA
1406SH,Scomber japonicus,All,18,NA,NA,NA,NA,NA,8000,1000,16781,NA,NA,2014-06-24T00:00:00Z,Scomber japonicus-All,2014,Summer,NOAA
1406SH,Trachurus symmetricus,All,19,NA,NA,NA,NA,NA,70800,22231,119369,NA,NA,2014-06-24T00:00:00Z,Trachurus symmetricus-All,2014,Summer,NOAA
1507SH,Clupea pallasii,All,23,19760.90568,24,1145.086393,16,9437.363104,18602.4525,10799.23179,31967.61547,5538.187861,29.77127807,2015-06-15T00:00:00Z,Clupea pallasii-All,2015,Summer,NOAA
1507SH,Engraulis mordax,Central,25,19455.51635,28,1071.00432,17,11487.9803,10528.43681,3209.897311,19787.19817,4379.819914,41.59990693,2015-06-15T00:00:00Z,Engraulis mordax-Central,2015,Summer,NOAA
1507SH,Engraulis mordax,Northern,28,23872.26524,29,1359.773218,13,58,2884.0774,207.5408159,7474.965687,1828.312214,63.39331302,2015-06-15T00:00:00Z,Engraulis mordax-Northern,2015,Summer,NOAA
1507SH,Sardinops sagax,Northern,32,18152.53182,23,961.3390929,14,2543.617409,14795.39164,538.1926478,43170.89469,12379.48412,83.67121615,2015-06-15T00:00:00Z,Sardinops sagax-Northern,2015,Summer,NOAA
1507SH,Scomber japonicus,All,34,8173.328001,10,463.2289417,5,172.616546,1223.816212,265.5511486,2521.67794,601.8812633,49.18069048,2015-06-15T00:00:00Z,Scomber japonicus-All,2015,Summer,NOAA
1507SH,Trachurus symmetricus,All,38,42350.33757,56,2375.269978,34,7860.840641,117846.734,60478.60795,173922.1453,29817.78156,25.3021705,2015-06-15T00:00:00Z,Trachurus symmetricus-All,2015,Summer,NOAA
1606RL,Clupea pallasii,All,43,20626.21027,36,3767.278618,13,2408.710473,68466.45779,46828.87898,99009.47868,13583.53812,19.83969751,2016-06-28T00:00:00Z,Clupea pallasii-All,2016,Summer,NOAA
1606RL,Engraulis mordax,Central,46,17633.98202,39,3529.37365,16,25159.27855,150906.5283,32842.81465,317456.564,76436.42019,50.65150001,2016-06-28T00:00:00Z,Engraulis mordax-Central,2016,Summer,NOAA
1606RL,Engraulis mordax,Northern,50,15797.74452,27,2980.885529,8,1733.794313,6574.549346,2479.808937,11595.95311,2342.265724,35.62625514,2016-06-28T00:00:00Z,Engraulis mordax-Northern,2016,Summer,NOAA
