cruise,haul,totalCatchWtkg,date,lat,long,species
JCFINP1904,6,5.7,1/5/2019,22.9537,-106.2396,Scomber japonicus
JCFINP1904,7,6.19,1/5/2019,22.8012,-106.1305,Scomber japonicus
JCFINP1904,8,1.42,2/5/2019,23.0309,-106.3151,Scomber japonicus
JCFINP1904,9,0.13,3/5/2019,23.3799,-106.6651,Scomber japonicus
JCFINP1904,10,0.01,3/5/2019,23.5426,-106.9145,Scomber japonicus
JCFINP1904,12,0.19,4/5/2019,23.6552,-107.2619,Scomber japonicus
JCFINP1904,14,1.48,4/5/2019,23.8759,-107.397,Scomber japonicus
JCFINP1904,16,0.46,5/5/2019,24.2436,-107.8114,Scomber japonicus
JCFINP1904,17,0.05,6/5/2019,23.306,-107.6863,Scomber japonicus
JCFINP1904,18,0.161,8/5/2019,23.7681,-107.0413,Scomber japonicus
JCFINP1904,21,1.85,10/5/2019,24.3998,-108.0721,Scomber japonicus
JCFINP1904,29,0.08,12/5/2019,24.9665,-108.6664,Scomber japonicus
JCFINP1904,30,45.62,13/05/2019,25.1539,-108.8507,Scomber japonicus
JCFINP1904,31,1.657,14/05/2019,25.3309,-109.0776,Scomber japonicus
JCFINP1904,34,3.909,15/05/2019,25.7678,-109.5108,Scomber japonicus
JCFINP1904,36,11.12,17/05/2019,26.0165,-109.6588,Scomber japonicus
JCFINP1904,39,10.649,18/05/2019,26.4745,-109.6718,Scomber japonicus
JCFINP1904,40,67.21,19/05/2019,26.5739,-109.632,Scomber japonicus
JCFINP1904,42,0.003,20/05/2019,26.4434,-110.8728,Scomber japonicus
JCFINP1904,44,9.751,20/05/2019,26.8603,-110.0535,Scomber japonicus
JCFINP1904,45,3.34,21/05/2019,27.0202,-110.3087,Scomber japonicus
JCFINP1904,47,3.74,21/05/2019,26.8656,-111.1814,Scomber japonicus
JCFINP1904,48,0.331,22/05/2019,26.9873,-110.9425,Scomber japonicus
JCFINP1904,50,240.072,23/05/2019,26.9294,-111.6249,Scomber japonicus
JCFINP1904,51,126.715,23/05/2019,27.8459,-110.9648,Scomber japonicus
JCFINP1904,52,0.902,24/05/2019,27.6973,-111.2524,Scomber japonicus
JCFINP2105,1,79.94,8/6/2021,28.40610167,-112.7050217,Scomber japonicus
JCFINP2105,2,128.46,8/6/2021,28.18454333,-112.5716917,Scomber japonicus
JCFINP2105,3,15.311,8/6/2021,28.13863833,-112.1051233,Scomber japonicus
JCFINP2105,4,55.39,9/6/2021,27.86658667,-112.62733,Scomber japonicus
JCFINP2105,6,16.56,9/6/2021,27.94603833,-111.3339367,Scomber japonicus
JCFINP2105,8,1424.3,10/6/2021,27.306455,-112.0752517,Scomber japonicus
JCFINP2105,9,4.59,11/6/2021,27.75860333,-110.8046083,Scomber japonicus
JCFINP2105,11,14.69,11/6/2021,26.916245,-111.6553833,Scomber japonicus
JCFINP2105,13,0.014,12/6/2021,27.384285,-110.7090117,Scomber japonicus
JCFINP2105,14,6.98,12/6/2021,26.86182,-111.18895,Scomber japonicus
JCFINP2105,16,10.7,17/06/2021,26.841945,-110.0870867,Scomber japonicus
JCFINP2105,19,964.921,19/06/2021,26.15431667,-111.1928567,Scomber japonicus
JCFINP2105,22,21.55,23/06/2021,25.32899333,-109.0826067,Scomber japonicus
JCFINP2105,24,0.095,23/06/2021,25.03059833,-108.5405283,Scomber japonicus
JCFINP2105,25,393.2,23/06/2021,24.895085,-108.3361133,Scomber japonicus
JCFINP2105,26,1.599,24/06/2021,24.628035,-108.1225667,Scomber japonicus
JCFINP2105,27,10.416,24/06/2021,24.40788167,-108.0578733,Scomber japonicus
JCFINP2105,28,5.409,25/06/2021,23.72837167,-107.1223783,Scomber japonicus
JCFINP2105,29,1.88,26/06/2021,23.01592167,-106.3020133,Scomber japonicus
JCFINP2105,30,0.085,27/06/2021,22.750165,-106.1959833,Scomber japonicus
JCFINP2205,3,6.53,23/05/2022,25.9586,-109.5929,Scomber japonicus
JCFINP2205,4,0.33,24/05/2022,25.3606,-110.6899,Scomber japonicus
JCFINP2205,8,0.713,25/05/2022,25.4755,-109.3533,Scomber japonicus
