"cruise","date","haul","species","longitude","latitude","period","station","type_haul","totalCatchWtkg"
"JCFINP1906","2019-06-20",1,"Engraulis mordax",-117.0478835,31.90446585,"diurno","spring","Media agua",0.074
"JCFINP1906","2019-06-20",2,"Engraulis mordax",-117.4259415,31.7024425,"diurno","spring","Media agua",0.26
"JCFINP1906","2019-06-22",6,"Engraulis mordax",-116.8438285,31.4282883,"diurno","summer","Media agua",2.468
"JCFINP1906","2019-06-22",7,"Engraulis mordax",-117.368194,31.1533742,"nocturno","summer","Media agua",0.743
"JCFINP1906","2019-06-23",8,"Engraulis mordax",-116.719503,31.20169335,"nocturno","summer","Media agua",0.868
"JCFINP1906","2019-06-24",11,"Sardinops sagax",-116.558976,30.9957642,"diurno","summer","Media agua",0.014
"JCFINP1906","2019-06-24",11,"Engraulis mordax",-116.558976,30.9957642,"diurno","summer","Media agua",0.947
"JCFINP1906","2019-06-25",12,"Engraulis mordax",-117.0118915,30.46425335,"diurno","summer","Media agua",2.889
"JCFINP1906","2019-06-25",12,"Sardinops sagax",-117.0118915,30.46425335,"diurno","summer","Media agua",0.02
"JCFINP1906","2019-06-25",12,"Trachurus symmetricus",-117.0118915,30.46425335,"diurno","summer","Media agua",0.012
"JCFINP1906","2019-06-25",12,"Scomber japonicus",-117.0118915,30.46425335,"diurno","summer","Media agua",0.006
"JCFINP1906","2019-06-25",13,"Sardinops sagax",-116.491174166667,30.740705,"nocturno","summer","Media agua",0.012
"JCFINP1906","2019-06-25",13,"Engraulis mordax",-116.491174166667,30.740705,"nocturno","summer","Media agua",2.069
"JCFINP1906","2019-06-26",14,"Sardinops sagax",-116.182396666667,30.6134341666667,"nocturno","summer","Media agua",1.68
"JCFINP1906","2019-06-26",14,"Engraulis mordax",-116.182396666667,30.6134341666667,"nocturno","summer","Media agua",0.691
"JCFINP1906","2019-06-26",15,"Engraulis mordax",-116.565028333333,30.4085583333333,"diurno","summer","Media agua",2.116
"JCFINP1906","2019-06-26",16,"Engraulis mordax",-116.733338333333,30.3177458333333,"diurno","summer","Media agua",5.978
"JCFINP1906","2019-06-26",16,"Sardinops sagax",-116.733338333333,30.3177458333333,"diurno","summer","Media agua",0.101
"JCFINP1906","2019-06-27",17,"Trachurus symmetricus",-116.994499166667,29.8900041666667,"nocturno","summer","Media agua",0.13
"JCFINP1906","2019-06-27",17,"Engraulis mordax",-116.994499166667,29.8900041666667,"nocturno","summer","Media agua",7.387
"JCFINP1906","2019-06-27",17,"Sardinops sagax",-116.994499166667,29.8900041666667,"nocturno","summer","Media agua",0.586
"JCFINP1906","2019-06-27",17,"Scomber japonicus",-116.994499166667,29.8900041666667,"nocturno","summer","Media agua",0.007
"JCFINP1906","2019-06-27",18,"Sardinops sagax",-116.7333025,30.0277616666667,"nocturno","summer","Media agua",0.59
"JCFINP1906","2019-06-27",18,"Engraulis mordax",-116.7333025,30.0277616666667,"nocturno","summer","Media agua",16.18
"JCFINP1906","2019-06-28",19,"Engraulis mordax",-116.3554575,30.228765,"nocturno","summer","Media agua",5.389
"JCFINP1906","2019-06-29",20,"Engraulis mordax",-116.3446,29.649579165,"diurno","summer","Media agua",3.75
"JCFINP1906","2019-06-29",21,"Engraulis mordax",-115.95532835,29.564328335,"nocturno","summer","Media agua",10.71
"JCFINP1906","2019-06-29",21,"Sardinops sagax",-115.95532835,29.564328335,"nocturno","summer","Media agua",0.873
"JCFINP1906","2019-06-29",21,"Scomber japonicus",-115.95532835,29.564328335,"nocturno","summer","Media agua",0.127
"JCFINP1906","2019-07-06",25,"Engraulis mordax",-115.79891165,27.895365835,"diurno","summer","Media agua",16.66
"JCFINP1906","2019-07-06",25,"Trachurus symmetricus",-115.79891165,27.895365835,"diurno","summer","Media agua",0.13
"JCFINP1906","2019-07-06",25,"Sardinops sagax",-115.79891165,27.895365835,"diurno","summer","Media agua",0.49
"JCFINP1906","2019-07-06",25,"Scomber japonicus",-115.79891165,27.895365835,"diurno","summer","Media agua",1.9
"JCFINP1906","2019-07-06",26,"Trachurus symmetricus",-116.08527,27.743688335,"diurno","summer","Media agua",0.793
"JCFINP1906","2019-07-06",26,"Scomber japonicus",-116.08527,27.743688335,"diurno","summer","Media agua",0.032
"JCFINP1906","2019-07-06",26,"Engraulis mordax",-116.08527,27.743688335,"diurno","summer","Media agua",0.048
"JCFINP1906","2019-07-06",27,"Engraulis mordax",-116.44843585,27.550845,"nocturno","summer","Media agua",0.94
"JCFINP1906","2019-07-06",27,"Trachurus symmetricus",-116.44843585,27.550845,"nocturno","summer","Media agua",0.016
"JCFINP1906","2019-07-06",27,"Scomber japonicus",-116.44843585,27.550845,"nocturno","summer","Media agua",0.029
"JCFINP1906","2019-07-06",27,"Sardinops sagax",-116.44843585,27.550845,"nocturno","summer","Media agua",0.01
"JCFINP1906","2019-07-07",29,"Scomber japonicus",-116.166456666667,27.4139875,"diurno","summer","Media agua",2.09
"JCFINP1906","2019-07-07",29,"Engraulis mordax",-116.166456666667,27.4139875,"diurno","summer","Media agua",107.418
"JCFINP1906","2019-07-07",29,"Sardinops sagax",-116.166456666667,27.4139875,"diurno","summer","Media agua",177.01
"JCFINP1906","2019-07-07",29,"Trachurus symmetricus",-116.166456666667,27.4139875,"diurno","summer","Media agua",0.41
"JCFINP1906","2019-07-09",31,"Engraulis mordax",-115.89908,27.2579908333334,"diurno","summer","Media agua",0.002
"JCFINP1906","2019-07-09",31,"Sardinops sagax",-115.89908,27.2579908333334,"diurno","summer","Media agua",0.005
"JCFINP1906","2019-07-09",32,"Engraulis mordax",-116.09436,27.1536558333333,"diurno","summer","Media agua",0.207
"JCFINP1906","2019-07-09",33,"Engraulis mordax",-116.313163333333,27.0376158333333,"nocturno","summer","Media agua",0.031
"JCFINP1906","2019-07-09",33,"Scomber japonicus",-116.313163333333,27.0376158333333,"nocturno","summer","Media agua",2.23
"JCFINP1907","2019-08-29",1,"Trachurus symmetricus",-114.57703085,27.08243917,"nocturno","summer","Media agua",0.009
"JCFINP1907","2019-07-30",4,"Trachurus symmetricus",-114.844319166667,26.3585483333333,"diurno","summer","Media agua",0.004
"JCFINP1907","2019-08-03",12,"Trachurus symmetricus",-113.659193333333,26.3835683333333,"diurno","summer","Media agua",0.032
"JCFINP1907","2019-08-06",18,"Trachurus symmetricus",-115.970395833333,24.4277366666667,"diurno","summer","Media agua",0.016
"JCFINP1907","2019-08-07",19,"Trachurus symmetricus",-113.139073333333,26.07366,"diurno","summer","Media agua",0.004
"JCFINP1907","2019-08-10",25,"Trachurus symmetricus",-112.743270833333,25.63545,"diurno","summer","Media agua",0.098
"JCFINP1907","2019-08-11",27,"Etrumeus acuminatus",-112.383415833333,25.0337466666667,"nocturno","summer","Media agua",0.346
"JCFINP1907","2019-08-14",30,"Trachurus symmetricus",-112.408799166667,24.1453408333333,"nocturno","summer","Media agua",0.009
"JCFINP1907","2019-08-14",31,"Scomber japonicus",-112.102638333333,24.3065066666667,"diurno","summer","Media agua",0.062
"JCFINP1907","2019-08-14",33,"Scomber japonicus",-111.890486666667,24.1263025,"nocturno","summer","Media agua",0.484
"JCFINP1907","2019-08-16",34,"Scomber japonicus",-111.1110075,23.9583166666667,"diurno","summer","Media agua",0.12
"JCFINP1907","2019-08-16",34,"Sardinops sagax",-111.1110075,23.9583166666667,"diurno","summer","Media agua",0.499
"JCFINP1907","2019-08-16",34,"Etrumeus acuminatus",-111.1110075,23.9583166666667,"diurno","summer","Media agua",3.062
"JCFINP1907","2019-08-18",37,"Etrumeus acuminatus",-110.619135833333,23.6335825,"nocturno","summer","Media agua",25.8
"JCFINP1907","2019-08-18",37,"Scomber japonicus",-110.619135833333,23.6335825,"nocturno","summer","Media agua",0.587
"JCFINP1907","2019-08-18",37,"Sardinops sagax",-110.619135833333,23.6335825,"nocturno","summer","Media agua",1.23
"JCFINP1907","2019-08-18",37,"Trachurus symmetricus",-110.619135833333,23.6335825,"nocturno","summer","Media agua",3.53
"JCFINP2207","2022-07-27",2,"Engraulis mordax",-117.2891875,32.31133,"n","summer","Media agua",0.13
"JCFINP2207","2022-07-28",4,"Engraulis mordax",-117.0010925,31.8740141666667,"n","summer","Media agua",0.12
"JCFINP2207","2022-07-29",6,"Trachurus symmetricus",-117.593503333333,31.7690333333333,"n","summer","Media agua",0.035
"JCFINP2207","2022-07-29",6,"Scomber japonicus",-117.593503333333,31.7690333333333,"n","summer","Media agua",0.012
"JCFINP2207","2022-07-30",9,"Trachurus symmetricus",-117.4024575,31.6709833333333,"n","summer","Media agua",0.002
"JCFINP2207","2022-07-31",12,"Engraulis mordax",-116.545404166667,31.32787,"n","summer","Media agua",1.028
"JCFINP2207","2022-08-01",13,"Engraulis mordax",-116.656640833333,31.455445,"n","summer","Media agua",6.2
"JCFINP2207","2022-08-01",14,"Trachurus symmetricus",-117.0620275,31.259735,"n","summer","Media agua",0.011
"JCFINP2207","2022-08-01",15,"Engraulis mordax",-116.420835833333,31.0026391666667,"n","summer","Media agua",0.83
"JCFINP2207","2022-08-01",15,"Sardinops sagax",-116.420835833333,31.0026391666667,"n","summer","Media agua",1.85
"JCFINP2207","2022-08-02",17,"Engraulis mordax",-116.90652415,31.144296415,"n","summer","Media agua",14.84
"JCFINP2207","2022-08-03",20,"Engraulis mordax",-116.417685833333,30.80527,"n","summer","Media agua",0.115
"JCFINP2207","2022-08-04",21,"Engraulis mordax",-116.280576666667,30.6850616666667,"n","summer","Media agua",0.025
"JCFINP2207","2022-08-04",22,"Engraulis mordax",-116.182119166667,30.5409408333333,"n","summer","Media agua",0.707
"JCFINP2207","2022-08-04",22,"Sardinops sagax",-116.182119166667,30.5409408333333,"n","summer","Media agua",0.015
"JCFINP2207","2022-08-04",23,"Engraulis mordax",-116.365968333333,30.4462383333333,"n","summer","Media agua",7.37
"JCFINP2207","2022-08-05",24,"Engraulis mordax",-116.56018415,30.54136417,"n","summer","Media agua",0.018
"JCFINP2207","2022-08-06",26,"Trachurus symmetricus",-116.97219915,30.14386667,"n","summer","Media agua",0.007
"JCFINP2207","2022-08-06",27,"Sardinops sagax",-115.949819166667,30.0791966666667,"n","summer","Media agua",2.124
"JCFINP2207","2022-08-06",27,"Engraulis mordax",-115.949819166667,30.0791966666667,"n","summer","Media agua",21.27
"JCFINP2207","2022-08-07",28,"Sardinops sagax",-116.0462308,30.228618335,"n","summer","Media agua",0.074
"JCFINP2207","2022-08-07",28,"Engraulis mordax",-116.0462308,30.228618335,"n","summer","Media agua",4.602
"JCFINP2207","2022-08-07",29,"Engraulis mordax",-115.869050833333,29.7270808333333,"n","summer","Media agua",63.52
