cruise,date,haul,species,long,lat,period,station,type_haul,totalCatchWtkg
JCFINP1904,5/1/2019,6,Scomber japonicus,-106.2502842,22.96221333,nocturno,spring,Media agua,0.22
JCFINP1904,5/1/2019,6,Opisthonema spp.,-106.2502842,22.96221333,nocturno,spring,Media agua,5.48
JCFINP1904,5/1/2019,7,Opisthonema spp.,-106.1400308,22.81209833,nocturno,spring,Media agua,6.19
JCFINP1904,5/2/2019,8,Engraulis mordax,-106.30197,23.01832583,nocturno,spring,Media agua,0.07
JCFINP1904,5/2/2019,8,Opisthonema spp.,-106.30197,23.01832583,nocturno,spring,Media agua,1.35
JCFINP1904,5/3/2019,9,Trachurus symmetricus,-106.6811925,23.38031417,nocturno,spring,Media agua,0.08
JCFINP1904,5/3/2019,9,Scomber japonicus,-106.6811925,23.38031417,nocturno,spring,Media agua,0.05
JCFINP1904,5/3/2019,10,Trachurus symmetricus,-106.8998758,23.55273,diurno,spring,Media agua,0.01
JCFINP1904,5/4/2019,12,Trachurus symmetricus,-107.24086,23.66668083,diurno,spring,Media agua,0.19
JCFINP1904,5/4/2019,14,Scomber japonicus,-107.3759225,23.88584333,nocturno,spring,Media agua,1.48
JCFINP1904,5/5/2019,16,Opisthonema spp.,-107.7978925,24.25083417,nocturno,spring,Media agua,0.13
JCFINP1904,5/5/2019,16,Scomber japonicus,-107.7978925,24.25083417,nocturno,spring,Media agua,0.33
JCFINP1904,5/6/2019,17,Opisthonema spp.,-107.6861165,23.80607657,nocturno,spring,Fondo,0.05
JCFINP1904,5/8/2019,18,Opisthonema spp.,-107.0549433,23.76056833,nocturno,spring,Media agua,0.161
JCFINP1904,5/10/2019,21,Scomber japonicus,-108.0847875,24.39291,nocturno,spring,Fondo,0.59
JCFINP1904,5/10/2019,21,Trachurus symmetricus,-108.0847875,24.39291,nocturno,spring,Fondo,1.26
JCFINP1904,5/12/2019,29,Scomber japonicus,-108.6351152,24.98132067,diurno,spring,Media agua,0.08
JCFINP1904,5/13/2019,30,Opisthonema spp.,-108.8705417,25.13809308,nocturno,spring,Media agua,20.96
JCFINP1904,5/13/2019,30,Scomber japonicus,-108.8705417,25.13809308,nocturno,spring,Media agua,12.08
JCFINP1904,5/13/2019,30,Oligoplites refulgens,-108.8705417,25.13809308,nocturno,spring,Media agua,0.52
JCFINP1904,5/13/2019,30,Trachurus symmetricus,-108.8705417,25.13809308,nocturno,spring,Media agua,12.06
JCFINP1904,5/14/2019,31,Engraulis mordax,-109.068305,25.3358875,nocturno,spring,Media agua,0.014
JCFINP1904,5/14/2019,31,Scomber japonicus,-109.068305,25.3358875,nocturno,spring,Media agua,1.52
JCFINP1904,5/14/2019,31,Oligoplites refulgens,-109.068305,25.3358875,nocturno,spring,Media agua,0.04
JCFINP1904,5/14/2019,31,Opisthonema spp.,-109.068305,25.3358875,nocturno,spring,Media agua,0.083
JCFINP1904,5/15/2019,34,Engraulis mordax,-109.5098725,25.74436583,nocturno,spring,Media agua,1.42
JCFINP1904,5/15/2019,34,Oligoplites refulgens,-109.5098725,25.74436583,nocturno,spring,Media agua,1.927
JCFINP1904,5/15/2019,34,Trachurus symmetricus,-109.5098725,25.74436583,nocturno,spring,Media agua,0.02
JCFINP1904,5/15/2019,34,Opisthonema spp.,-109.5098725,25.74436583,nocturno,spring,Media agua,0.045
JCFINP1904,5/15/2019,34,Scomber japonicus,-109.5098725,25.74436583,nocturno,spring,Media agua,0.485
JCFINP1904,5/15/2019,34,Sardinops sagax,-109.5098725,25.74436583,nocturno,spring,Media agua,0.012
JCFINP1904,5/17/2019,36,Scomber japonicus,-109.6526208,26.000765,nocturno,spring,Media agua,11.12
JCFINP1904,5/18/2019,39,Scomber japonicus,-109.692415,26.46270083,nocturno,spring,Media agua,0.193
JCFINP1904,5/18/2019,39,Engraulis mordax,-109.692415,26.46270083,nocturno,spring,Media agua,10.456
JCFINP1904,5/19/2019,40,Opisthonema spp.,-109.6095558,26.5615125,nocturno,spring,Media agua,3.26
JCFINP1904,5/19/2019,40,Trachurus symmetricus,-109.6095558,26.5615125,nocturno,spring,Media agua,1.4
JCFINP1904,5/19/2019,40,Scomber japonicus,-109.6095558,26.5615125,nocturno,spring,Media agua,62.55
JCFINP1904,5/19/2019,41,Engraulis mordax,-111.3110758,26.21987917,nocturno,spring,Media agua,3582.8
JCFINP1904,5/20/2019,42,Trachurus symmetricus,-110.89579,26.430965,nocturno,spring,Media agua,0.003
JCFINP1904,5/20/2019,44,Opisthonema spp.,-110.0764392,26.84910167,nocturno,spring,Media agua,9.36
