id,cruise,haul,posneg,long1,lat1,lance,long,lat,peso_captura_total_kg,date,station
1,JCFINP1904,1,negative,-105.8170625,22.19198833,1,-105.8181,22.20615,33.575,28/04/2019,spring
2,JCFINP1904,2,negative,-106.2143367,22.161925,2,-106.2343,22.15184167,27.395,29/04/2019,spring
3,JCFINP1904,3,negative,-106.3957258,22.06904083,3,-106.4133083,22.05972,0.332,29/04/2019,spring
4,JCFINP1904,4,negative,-106.053445,22.71783083,4,-106.0617667,22.72965,170.181,30/04/2019,spring
5,JCFINP1904,5,negative,-106.10251,22.79568,5,-106.0901017,22.80435,7.285,30/04/2019,spring
6,JCFINP1904,6,positive,-106.2502842,22.96221333,6,-106.2395583,22.95370667,20.327,1/5/2019,spring
7,JCFINP1904,7,positive,-106.1400308,22.81209833,7,-106.1304817,22.80120667,9.018,1/5/2019,spring
8,JCFINP1904,8,positive,-106.30197,23.01832583,8,-106.3150733,23.03086167,6.809,2/5/2019,spring
9,JCFINP1904,9,negative,-106.6811925,23.38031417,9,-106.6650783,23.37991667,23.806,3/5/2019,spring
10,JCFINP1904,10,negative,-106.8998758,23.55273,10,-106.91453,23.54264333,6.521,3/5/2019,spring
11,JCFINP1904,11,negative,-107.2504117,23.66029167,11,-107.238205,23.66713667,33.514,4/5/2019,spring
12,JCFINP1904,12,negative,-107.24086,23.66668083,12,-107.261905,23.65519667,3.564,4/5/2019,spring
13,JCFINP1904,13,negative,-107.0817888,23.88267573,13,-107.091856,23.8934948,14.058,4/5/2019,spring
14,JCFINP1904,14,positive,-107.3759225,23.88584333,14,-107.39697,23.87586,5.834,4/5/2019,spring
15,JCFINP1904,15,negative,-107.6712408,24.02618758,15,-107.653595,24.03606167,34.981,5/5/2019,spring
16,JCFINP1904,16,positive,-107.7978925,24.25083417,16,-107.811405,24.24355333,14.59,5/5/2019,spring
17,JCFINP1904,17,positive,-107.6861165,23.80607657,17,-107.68629,23.30601333,37.145,6/5/2019,spring
18,JCFINP1904,18,positive,-107.0549433,23.76056833,18,-107.041265,23.76811167,11.761,8/5/2019,spring
19,JCFINP1904,19,negative,-107.0884058,23.88869833,19,-107.0971333,23.897575,165.4924,8/5/2019,spring
20,JCFINP1904,20,negative,-109.1768025,23.5484475,20,-109.1982367,23.53751167,29.193,9/5/2019,spring
21,JCFINP1904,21,positive,-108.0847875,24.39291,21,-108.0720767,24.39978333,8.316,10/5/2019,spring
22,JCFINP1904,22,negative,-108.1514633,24.6688125,22,-108.16078,24.68105167,0.023,10/5/2019,spring
23,JCFINP1904,23,negative,-109.4254472,24.00073845,23,-109.4484711,23.9894619,4.544,10/5/2019,spring
24,JCFINP1904,24,negative,-109.7044592,24.13532417,24,-109.7100833,24.15606333,3.024,11/5/2019,spring
25,JCFINP1904,25,negative,-109.2544642,24.3728775,25,-109.2344,24.38557167,5.788,11/5/2019,spring
26,JCFINP1904,26,negative,-108.6312885,24.69245796,26,-108.6113783,24.70519667,28.921,12/5/2019,spring
27,JCFINP1904,27,negative,-108.3237825,24.851295,27,-108.3099467,24.85844,54.135,12/5/2019,spring
28,JCFINP1904,28,negative,-108.3870355,25.01469333,28,-108.3968827,25.02861665,32.889,12/5/2019,spring
29,JCFINP1904,29,positive,-108.6351152,24.98132067,29,-108.6663753,24.96646967,0.126,12/5/2019,spring
30,JCFINP1904,30,positive,-108.8705417,25.13809308,30,-108.8507217,25.15391667,53.476,13/05/2019,spring
31,JCFINP1904,31,positive,-109.068305,25.3358875,31,-109.0776133,25.33089667,3.064,14/05/2019,spring
32,JCFINP1904,32,negative,-109.9282641,24.89803908,32,-109.947405,24.88823,4.965,14/05/2019,spring
33,JCFINP1904,33,negative,-109.5411567,25.38462583,33,-109.521185,25.39510167,0.3,15/05/2019,spring
34,JCFINP1904,34,positive,-109.5098725,25.74436583,34,-109.510805,25.76778167,19.1483,15/05/2019,spring
35,JCFINP1904,35,negative,-109.8473775,25.51795,35,-109.8758517,25.50359,22.735,16/05/2019,spring
36,JCFINP1904,36,positive,-109.6526208,26.000765,36,-109.6588033,26.01645833,13.001,17/05/2019,spring
37,JCFINP1904,37,negative,-109.6280717,26.09839667,37,-109.6143417,26.11559333,0,17/05/2019,spring
38,JCFINP1904,38,negative,-110.8745958,25.53226083,38,-110.8984467,25.53873333,49.513,18/05/2019,spring
39,JCFINP1904,39,positive,-109.692415,26.46270083,39,-109.6717817,26.47449,11.283,18/05/2019,spring
40,JCFINP1904,40,positive,-109.6095558,26.5615125,40,-109.632,26.573945,115.998,19/05/2019,spring
41,JCFINP1904,41,positive,-111.3110758,26.21987917,41,-111.28958,26.23153167,3907.02,19/05/2019,spring
42,JCFINP1904,42,negative,-110.89579,26.430965,42,-110.8727583,26.44342,0.05,20/05/2019,spring
